# Project:  CS 330
# Program:  Pathfinding
# Purpose:  Connections for pathfinding test graph:  Adventure Bay
# Author:   Mikel D. Petty, Ph.D., 256-824-6140, pettym@uah.edu
# Created:  2019-3-3
# Modified: 2021-3-23
#
# Connections are numbered sequentially, in the order they appear in the file.
#
# Each connection is represented by a record, with the following fields.
# 1. "C" for connection
# 2. connection number
# 3. from node
# 4. to node
# 5. connection cost
# 6. cost plot position (0=no plot, 1=below, 2=left, 3=above, 4=right)
# 7. type (1=road, 2=walk, 3=sand, 4=dock, 5=other)
#
# Fields 2-5 are used by the pathfinding algorithms.
# Fields 6-7 are used by the graph plotting function.
#
"C",   1,  1,  2,  5, 4, 5
"C",   2,  2,  1, 30, 2, 5  
"C",   3,  2,  3, 40, 1, 1
"C",   4,  3,  2, 60, 3, 1
"C",   5,  3,  4, 20, 1, 1
"C",   6,  4,  3, 20, 0, 1
"C",   7,  4,  5, 45, 1, 1
"C",   8,  5,  4, 45, 0, 1
"C",   9,  5,  6, 20, 1, 1
"C",  10,  6,  5, 20, 0, 1
"C",  11,  6,  7, 30, 1, 1
"C",  12,  7,  6, 30, 0, 1
"C",  13,  7,  8,  8, 1, 1
"C",  14,  8,  7,  8, 0, 1
"C",  15,  8,  9, 10, 1, 1
"C",  16,  9,  8, 10, 0, 1
"C",  17,  8, 10, 50, 4, 1
"C",  18, 10,  8, 50, 0, 1
"C",  19, 10, 11, 10, 1, 1
"C",  20, 11, 35, 25, 3, 1
"C",  21, 35, 36, 20, 4, 1
"C",  22, 36, 10,  5, 1, 1
"C",  23, 11, 12, 10, 1, 1
"C",  24, 12, 11, 10, 0, 1
"C",  25, 12, 13, 10, 1, 1
"C",  26, 13, 12, 10, 0, 1
"C",  27, 13, 14, 10, 1, 1
"C",  28, 14, 13, 10, 0, 1
"C",  29, 14, 15, 10, 1, 1
"C",  30, 15, 14, 10, 0, 1
"C",  31, 15, 16, 10, 1, 1
"C",  32, 16, 15, 10, 0, 1
"C",  33, 16, 17, 22, 3, 1
"C",  34, 17, 16, 22, 0, 1
"C",  35, 17, 18, 22, 3, 1
"C",  36, 17, 18, 22, 0, 1
"C",  37, 18, 19, 26, 1, 1
"C",  38, 19, 18, 26, 0, 1
"C",  39, 19, 20, 12, 1, 1
"C",  40, 20, 19, 12, 0, 1
"C",  41, 20, 21, 25, 2, 1
"C",  42, 21, 20, 25, 0, 1
"C",  43, 21, 22, 12, 1, 1
"C",  44, 22, 23, 19, 1, 1
"C",  45, 23,  3, 31, 2, 1
"C",  46, 16, 44, 20, 2, 1
"C",  47, 44, 16, 20, 0, 1
"C",  48, 38, 44, 15, 3, 1
"C",  49, 44, 38, 15, 0, 1
"C",  50, 16, 38, 25, 3, 1
"C",  51, 38, 16, 25, 0, 1
"C",  52, 37, 38, 16, 3, 1
"C",  53, 38, 37, 16, 0, 1
"C",  54, 35, 37, 32, 3, 1
"C",  55, 37, 35, 32, 0, 1
"C",  56, 38, 40, 25, 4, 1
"C",  57, 40, 38, 25, 0, 1
"C",  58, 40, 41, 25, 4, 1
"C",  59, 41, 40, 25, 0, 1
"C",  60, 41, 42, 25, 4, 1
"C",  61, 42, 41, 25, 0, 1
"C",  62, 40, 43, 99, 2, 1
"C",  63, 43, 40, 99, 0, 1
"C",  64, 18, 46, 20, 4, 1
"C",  65, 46, 18, 20, 0, 1
"C",  66, 46, 47, 10, 4, 1
"C",  67, 47, 46, 10, 0, 1
"C",  68, 47, 48,  7, 1, 1
"C",  69, 48, 47,  7, 0, 1
"C",  70, 48, 49,  8, 1, 1
"C",  71, 49, 48,  8, 0, 1
"C",  72, 49, 50,  8, 1, 1
"C",  73, 50, 49,  8, 0, 1
"C",  74, 50, 51,  8, 1, 1
"C",  75, 51, 50,  8, 0, 1
"C",  76, 51, 52,  8, 1, 1
"C",  77, 52, 51,  8, 0, 1
"C",  78, 52, 53,  7, 1, 1
"C",  79, 53, 52,  7, 0, 1
"C",  80, 44, 53, 10, 4, 1
"C",  81, 53, 44, 10, 0, 1
"C",  82, 19, 62, 23, 2, 1
"C",  83, 62, 19, 23, 0, 1
"C",  84, 47, 61, 30, 3, 1
"C",  85, 61, 47, 30, 0, 1
"C",  86, 47, 64, 12, 4, 1
"C",  87, 64, 47, 12, 0, 1
"C",  88, 61, 62, 10, 3, 1
"C",  89, 62, 61, 10, 0, 1
"C",  90, 61, 65, 16, 4, 2
"C",  91, 65, 61, 16, 0, 2
"C",  92, 62, 63, 12, 2, 1
"C",  93, 63, 62, 12, 0, 1
"C",  94, 63, 64, 39, 1, 1
"C",  95, 64, 63, 39, 0, 1
"C",  96, 64, 66, 70, 1, 1
"C",  97, 66, 64, 70, 0, 1
"C",  98, 20, 24, 23, 4, 4
"C",  99, 24, 20, 23, 0, 4
"C", 100, 19, 25, 23, 4, 4
"C", 101, 25, 19, 23, 0, 4
"C", 102, 18, 26, 20, 2, 4
"C", 103, 26, 18, 20, 0, 4
"C", 104, 26, 27, 20, 2, 4
"C", 105, 27, 26, 20, 0, 4
"C", 106, 26, 28, 45, 3, 3
"C", 107, 28, 26, 45, 0, 3
"C", 108, 28, 29, 45, 3, 3
"C", 109, 29, 28, 45, 0, 3
"C", 110, 29, 30, 53, 1, 3
"C", 111, 30, 29, 53, 0, 3
"C", 112, 17, 28, 20, 2, 3
"C", 113, 28, 17, 20, 0, 3
"C", 114, 16, 29, 20, 2, 3
"C", 115, 29, 16, 20, 0, 3
"C", 116, 13, 30, 19, 2, 3
"C", 117, 30, 13, 19, 0, 3
"C", 118, 12, 34, 15, 4, 2
"C", 119, 34, 12, 15, 0, 2
"C", 120, 13, 33, 15, 4, 2
"C", 121, 33, 13, 15, 0, 2
"C", 122, 14, 32, 15, 4, 2
"C", 123, 32, 14, 15, 0, 2
"C", 124, 15, 31, 15, 4, 2
